                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.51456,                0.31564,                 1.0618,                0.97479,                0.98274,                0.97707,                0.89276,                0.46004,                0.24121,                 1.0069,              0.0003046,              0.0003046,              0.0003046
                     63,                0.50836,                0.31535,                 1.0553,                0.97962,                0.98025,                0.98196,                0.89617,                0.45126,                0.24409,                 1.0002,             0.00029699,             0.00029699,             0.00029699
                     64,                0.51161,                0.31921,                 1.0625,                0.97816,                0.98214,                0.97762,                0.89357,                 0.4612,                0.25399,                 1.0027,             0.00028937,             0.00028937,             0.00028937
                     65,                0.49823,                0.30889,                 1.0453,                0.97955,                0.98111,                0.97694,                 0.8925,                 0.4604,                 0.2444,                  1.011,             0.00028176,             0.00028176,             0.00028176
                     66,                0.49797,                0.30576,                 1.0497,                0.97697,                 0.9839,                0.97755,                0.88897,                 0.4455,                0.23704,                0.99555,             0.00027415,             0.00027415,             0.00027415
                     67,                0.48986,                0.30362,                 1.0497,                0.97083,                0.98451,                0.97735,                0.89274,                0.45037,                0.24369,                0.99914,             0.00026654,             0.00026654,             0.00026654
                     68,                0.47953,                0.30017,                 1.0443,                0.97189,                0.98111,                 0.9765,                0.89202,                0.44271,                0.24738,                0.98942,             0.00025892,             0.00025892,             0.00025892
                     69,                0.48201,                0.29754,                 1.0464,                0.98248,                0.98043,                0.97753,                0.89317,                0.44631,                 0.2326,                0.99285,             0.00025131,             0.00025131,             0.00025131
                     70,                0.48159,                 0.2943,                 1.0393,                 0.9753,                0.98111,                0.97923,                0.89705,                0.45003,                0.23644,                 1.0031,              0.0002437,              0.0002437,              0.0002437
                     71,                0.47467,                0.28789,                 1.0385,                0.97808,                0.98399,                0.97847,                0.89818,                0.43934,                0.23443,                0.98459,             0.00023608,             0.00023608,             0.00023608
                     72,                 0.4701,                0.28438,                 1.0384,                0.97465,                0.98127,                0.97651,                0.89763,                0.43407,                0.23224,                0.98448,             0.00022847,             0.00022847,             0.00022847
