                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.56647,                0.36239,                 1.0778,                 0.9774,                0.97198,                0.97493,                0.87863,                0.48378,                 0.2818,                0.99686,             0.00032744,             0.00032744,             0.00032744
                     60,                0.56062,                0.35896,                 1.0682,                0.97899,                0.97839,                0.97683,                0.88636,                0.47164,                0.28611,                0.98833,             0.00031983,             0.00031983,             0.00031983
                     61,                  0.556,                0.35247,                 1.0674,                0.97699,                0.97786,                0.98045,                0.89155,                 0.4784,                0.28346,                0.99952,             0.00031221,             0.00031221,             0.00031221
                     62,                0.54523,                0.35599,                 1.0617,                0.97801,                0.98216,                0.97882,                0.87973,                0.46988,                0.27977,                0.99472,              0.0003046,              0.0003046,              0.0003046
                     63,                0.55187,                0.35441,                  1.064,                0.97837,                0.98054,                0.97264,                0.87341,                0.47717,                0.28684,                 1.0043,             0.00029699,             0.00029699,             0.00029699
                     64,                0.55015,                0.34949,                 1.0655,                0.97773,                0.97957,                0.97753,                0.88548,                0.46582,                0.27992,                0.99671,             0.00028937,             0.00028937,             0.00028937
                     65,                0.54206,                0.34613,                 1.0579,                0.97661,                0.98211,                0.97641,                0.89272,                0.46665,                 0.2739,                0.99586,             0.00028176,             0.00028176,             0.00028176
                     66,                0.53215,                 0.3416,                 1.0554,                0.97759,                0.97925,                0.97472,                0.88689,                0.45749,                0.27344,                0.98817,             0.00027415,             0.00027415,             0.00027415
                     67,                0.53911,                0.34249,                 1.0596,                0.97761,                0.98136,                0.97274,                 0.8824,                 0.4565,                0.26531,                0.99014,             0.00026654,             0.00026654,             0.00026654
                     68,                0.52821,                0.33777,                 1.0566,                0.97942,                0.97624,                0.97121,                0.88358,                0.46173,                0.27663,                0.99443,             0.00025892,             0.00025892,             0.00025892
                     69,                0.52843,                0.33586,                  1.057,                 0.9702,                 0.9735,                0.97263,                0.87963,                0.45625,                0.27401,                0.98343,             0.00025131,             0.00025131,             0.00025131
                     70,                0.52762,                0.33562,                 1.0485,                0.97953,                0.97969,                0.97368,                0.88691,                  0.467,                 0.2685,                 1.0018,              0.0002437,              0.0002437,              0.0002437
                     71,                0.51731,                0.32808,                 1.0471,                0.97905,                0.97901,                0.97383,                0.88326,                0.46854,                0.27619,                0.99107,             0.00023608,             0.00023608,             0.00023608
                     72,                0.51631,                0.33043,                  1.047,                0.96161,                0.98275,                0.97398,                 0.8864,                0.46837,                0.28043,                 1.0028,             0.00022847,             0.00022847,             0.00022847
                     73,                0.51016,                0.32513,                 1.0387,                 0.9804,                0.98242,                0.97627,                0.88978,                0.46029,                0.27001,                  0.987,             0.00022086,             0.00022086,             0.00022086
                     74,                0.51115,                0.33084,                 1.0424,                0.97947,                0.97773,                0.97497,                0.89118,                0.47167,                0.27604,                 1.0035,             0.00021324,             0.00021324,             0.00021324
                     75,                 0.5069,                0.32238,                  1.039,                0.97956,                0.97927,                0.97431,                0.88586,                0.46055,                0.26825,                0.98871,             0.00020563,             0.00020563,             0.00020563
                     76,                0.50674,                0.31885,                 1.0376,                0.97893,                0.97885,                0.97605,                 0.8888,                0.45917,                0.27139,                0.99148,             0.00019802,             0.00019802,             0.00019802
                     77,                0.51301,                0.32698,                 1.0416,                0.98181,                0.97941,                0.97881,                 0.8931,                0.46176,                0.26681,                0.99292,              0.0001904,              0.0001904,              0.0001904
                     78,                0.50216,                0.31908,                 1.0373,                 0.9831,                0.98239,                0.97985,                0.88919,                0.46555,                0.26476,                 1.0016,             0.00018279,             0.00018279,             0.00018279
                     79,                0.49687,                0.31931,                 1.0356,                 0.9824,                0.97921,                0.97724,                0.88844,                0.46277,                0.26302,                0.98752,             0.00017518,             0.00017518,             0.00017518
